Branch Name,"Alliance Assoc.
Bank",Banco Popular,Bank United,City National,"Enterprise Bank 
& Trust",First Citizens Bank,Harmony Bank,"Pacific Premier 
Bank",Pacific Western,SouthState,SunWest Bank,Capital One
"Alliance Association Management, Inc. dba Associa Hill Country",1,0,0,0,1,1,2,1,1,0,0,1
"Associations Equity Management, Inc. ",1,0,0,0,1,1,0,1,2,0,0,1
"Associated Management, Inc. dba Associa Sierra North",1,0,0,0,1,2,0,0,1,0,0,0
"Association Services, Inc. ",1,0,0,0,1,0,0,2,1,0,0,1
"Benson's, Inc. dba Associa Gulf Coast",1,1,1,0,1,1,0,2,2,0,0,1
"Benchmark Properties, Inc. dba Associa Nevada South",0,0,0,0,1,2,0,0,1,0,0,0
"Burg Management Company, Inc. dba Burg Management",0,1,1,0,1,0,1,0,2,0,1,1
"Associa Carolinas, Inc. ",0,0,0,0,1,0,0,0,2,0,0,1
Associa Minnesota,1,0,0,0,1,1,0,0,2,0,0,1
"Community Group, Inc.",0,0,0,0,1,1,0,2,1,0,0,1
"Canyon Gate Real Estate Services, LLC",1,0,2,0,1,1,1,2,1,0,0,1
Common Interest Management Holdings,0,0,0,0,0,0,0,0,0,0,0,0
"Community Management Concepts, Inc.",1,1,1,2,1,2,0,2,2,0,0,1
"CMA - Community Management Associates, Inc.",0,0,0,0,0,0,0,0,0,0,0,0
Community Management Corporation,1,0,0,0,1,1,0,2,1,0,0,1
"Certified Management, Inc. dba Associa Hawaii",0,0,0,0,0,0,0,0,0,0,0,0
"Cities Management, Inc. dba Cities Management",0,0,0,0,0,0,0,0,0,0,0,0
"Community Management Professionals, Inc.",1,1,1,2,1,2,0,0,1,0,1,1
Community Management Corporation ,1,0,0,0,1,2,0,0,1,0,0,0
"Tyler Community Management, Inc. dba Associa Colorado",2,0,0,0,1,1,0,1,1,0,0,1
"Choice NY Property Management,LLC",0,0,0,0,0,0,0,0,0,0,0,0
"Development Consultants, Inc. dba Association Services of Florida",0,2,1,2,1,1,1,2,1,1,0,1
"Desert Resort Management, Inc. dba Associa Desert Resort Management",1,0,0,0,1,1,0,0,2,0,0,1
"EB Community Managers, Inc.",0,0,0,0,0,0,0,0,0,0,0,0
"EMB, Inc. dba Associa EMB Mangement",1,0,0,0,1,1,0,0,2,0,0,1
"Houston Community Management Services, Inc. dba HouComm",0,0,0,0,1,2,1,2,1,0,0,1
"eritage Property Management Services, LLC",0,0,0,0,0,0,0,0,0,0,0,0
Hunt Management Incorporated,0,0,0,0,0,0,0,0,0,0,0,0
"Parker & Company, Inc., Consulting, Management & Investments dbaAssocia Principal Management Group of Houston, Principal Management Group, Principal Management Group of Houston",0,0,0,0,1,1,1,2,1,0,0,1
Associa H.R.W. Management ,1,0,0,0,1,1,1,2,1,0,0,1
"Jomar Association Services, Inc.   dba Associa Arizona",1,0,0,0,1,2,0,0,1,0,0,1
"Community Management Concepts of Jacksonville, Inc. (FL)",1,1,1,2,1,2,0,0,1,0,0,1
"Kramer-Triad Management Group, LLC dba Associa Kramer-Triad Management Group",1,0,0,0,1,2,1,1,1,0,0,1
"Legum & Norman Realty, Inc. dba Legum & Norman",0,0,0,0,1,2,0,0,2,0,0,1
"Lewis Management Resources, Inc. (AKA Associa Arizona)",1,0,0,0,1,2,0,1,1,0,0,1
"M&C Association Management Services, Inc. dba Associa Northern California ",1,0,0,0,1,1,0,0,2,0,0,1
Mid-Atlantic Management Corporation  dba Associa Mid-Atlantic,0,0,0,0,1,1,0,2,1,0,0,1
"Associa Client Shared Services Center, Inc",2,2,2,0,2,2,0,0,2,0,0,1
"Massingham & Associates Management, Inc. dba Associa Northern California",1,0,0,0,1,1,0,0,2,0,0,1
"MAMCO, Inc.  dba Associa  Mid-Atlantic",0,0,0,0,1,1,1,2,1,0,0,1
McKay Management Corporation,0,0,0,0,1,0,0,0,2,0,0,1
"Morris Property Management, Inc. dba Associa Tennessee",1,0,0,0,1,2,1,1,1,0,0,1
"N.N. Jaeschke, Inc.",1,0,0,0,1,1,0,0,2,0,0,1
"Principal Management Group, Inc. dba Associa North Texas, Associa Principal Management Group of NTX, PMG of North Texas, Principal Management Group of North Texas",1,0,1,0,1,1,2,2,1,0,0,1
"Professional Community Management Services, Inc. dba ProComm and Associa Hill Country",1,0,0,0,1,1,2,1,1,0,0,1
"Professional Community Management of California, Inc. dba Associa Professional Community Management, PCM of California, Professional Community Management ",1,0,0,0,1,1,0,0,2,0,0,1
"R & G Management Co., Inc. dba Community Association Services of Indiana (CASI), CASI, Associa CASI",0,0,0,0,1,2,0,1,1,0,0,1
"River Management, Development and Realty, Inc. dba Associa New York",1,0,0,0,1,2,1,0,1,0,0,1
"Real Property Management, Inc. dba Associa Real Property Management",2,0,0,0,1,1,0,0,2,0,0,1
"Somerset Association Management, Inc.",0,0,0,0,1,1,1,2,1,0,0,1
Roy H. Smith Real Estate Co. dba The Smith Management Group,1,0,0,0,1,1,0,2,1,0,0,1
The Prescott Companies dba Associa Prescott,0,0,0,0,1,1,1,0,2,0,0,1
"Vanguard Community Management, Inc. dba Associa Chicagoland (IN &IL), Associa OnCall and Associa Vanguard Community Management",1,0,0,0,1,1,0,2,1,0,0,1
